district,School Basic Sanitation,School Educational Infrastructure,School Facilities,School Physical Infrastructure,School Profile
north garo hills,10.0,6.0,1.0,4.0,4.0
pakaur,7.0,8.0,5.0,2.0,4.0
kurukshetra,7.0,8.0,7.0,3.0,4.0
hamirpur (h.p.),10.0,8.0,7.0,3.0,4.0
sirohi,7.0,7.0,6.0,3.0,4.0
churachandpur,10.0,8.0,3.0,3.0,4.0
nuh,7.0,8.0,6.0,3.0,4.0
madurai,10.0,6.0,6.0,3.0,3.0
bharatpur,7.0,5.0,6.0,3.0,3.0
bhandara,7.0,9.0,7.0,3.0,4.0
mahisagar,10.0,10.0,8.0,4.0,4.0
fatehabad,7.0,7.0,7.0,3.0,4.0
ajmer,7.0,5.0,7.0,3.0,3.0
wayanad,7.0,8.0,9.0,3.0,4.0
bhadrak,10.0,9.0,5.0,4.0,4.0
thanjavur,10.0,8.0,6.0,4.0,3.0
kishanganj,10.0,7.0,2.0,3.0,4.0
villupuram,10.0,7.0,7.0,3.0,4.0
sidhi,7.0,8.0,4.0,4.0,4.0
kangra,10.0,8.0,6.0,3.0,5.0
malappuram,7.0,8.0,9.0,3.0,4.0
khagaria,10.0,8.0,2.0,3.0,4.0
hassan,7.0,9.0,5.0,2.0,4.0
hanumangarh,7.0,5.0,7.0,3.0,4.0
chittoor,6.0,8.0,5.0,3.0,4.0
boudh,10.0,9.0,4.0,3.0,4.0
east garo hills,8.0,9.0,3.0,4.0,4.0
goalpara,6.0,8.0,4.0,3.0,4.0
kra dadi,10.0,10.0,2.0,4.0,4.0
lower siang,6.0,7.0,3.0,4.0,4.0
auraiya,7.0,6.0,4.0,3.0,4.0
dantewada,10.0,10.0,3.0,3.0,4.0
shahjahanpur,7.0,7.0,4.0,3.0,4.0
latehar,7.0,9.0,6.0,2.0,4.0
jalpaiguri,10.0,9.0,4.0,3.0,4.0
delhi,10.0,6.0,10.0,4.0,7.0
uttara kannada sirsi,10.0,10.0,5.0,2.0,4.0
rewa,7.0,7.0,5.0,3.0,4.0
jyotiba phule nagar (amroha),7.0,5.0,4.0,3.0,3.0
jalgaon,10.0,9.0,8.0,3.0,3.0
nandurbar,10.0,10.0,6.0,3.0,4.0
vaishali,10.0,8.0,4.0,3.0,4.0
bemetara,7.0,9.0,5.0,3.0,4.0
morbi,10.0,8.0,9.0,3.0,3.0
shivamogga,10.0,9.0,5.0,3.0,3.0
baramula,10.0,8.0,4.0,3.0,4.0
hyderabad,7.0,7.0,7.0,2.0,2.0
ahmedabad,7.0,5.0,9.0,3.0,3.0
charaideo,7.0,9.0,4.0,4.0,4.0
tengnoupal,6.0,8.0,3.0,4.0,4.0
panna,7.0,8.0,4.0,3.0,4.0
kakching,7.0,7.0,5.0,3.0,3.0
dibrugarh,7.0,9.0,4.0,4.0,4.0
shivpuri,7.0,8.0,5.0,3.0,4.0
howrah,7.0,9.0,4.0,3.0,3.0
hailakandi,7.0,6.0,2.0,4.0,4.0
kondagaon,7.0,10.0,5.0,3.0,4.0
sabar kantha,7.0,9.0,9.0,3.0,4.0
bongaigaon,7.0,8.0,3.0,4.0,4.0
begusarai,10.0,7.0,4.0,3.0,3.0
gadag,7.0,8.0,7.0,3.0,3.0
sirsa,7.0,8.0,7.0,3.0,4.0
wardha,10.0,9.0,7.0,3.0,4.0
dindigul,10.0,8.0,6.0,3.0,3.0
bhilwara,7.0,7.0,6.0,3.0,4.0
jalandhar,10.0,7.0,7.0,3.0,3.0
chandigarh,10.0,6.0,10.0,5.0,7.0
kiphire,13.0,9.0,3.0,3.0,4.0
korba,7.0,9.0,5.0,3.0,4.0
jhansi,7.0,6.0,4.0,3.0,3.0
kota,7.0,4.0,6.0,3.0,3.0
aravalli,10.0,9.0,8.0,4.0,4.0
nagarkurnool,7.0,9.0,5.0,3.0,4.0
aurangabad (bihar),7.0,8.0,2.0,3.0,4.0
anantnag,7.0,8.0,4.0,3.0,4.0
madhepura,7.0,7.0,2.0,4.0,4.0
bandipora,7.0,9.0,3.0,3.0,4.0
north goa,10.0,9.0,6.0,3.0,6.0
sagar,7.0,8.0,6.0,3.0,4.0
sangli,7.0,9.0,8.0,3.0,3.0
jamui,10.0,9.0,4.0,3.0,4.0
aizawl,7.0,5.0,5.0,3.0,4.0
firozabad,7.0,6.0,5.0,3.0,3.0
kokrajhar,6.0,7.0,4.0,4.0,4.0
warangal,7.0,8.0,6.0,3.0,3.0
dohad,10.0,9.0,7.0,4.0,4.0
kannur,10.0,8.0,9.0,3.0,3.0
chittaurgarh,7.0,7.0,6.0,3.0,4.0
tiruvallur,10.0,7.0,7.0,3.0,3.0
saiha,7.0,8.0,3.0,4.0,3.0
namakkal,10.0,8.0,8.0,4.0,3.0
vijayapura,7.0,7.0,6.0,3.0,3.0
siliguri,10.0,7.0,4.0,3.0,4.0
jhargram,7.0,10.0,5.0,3.0,4.0
botad,10.0,7.0,9.0,3.0,3.0
cooch bihar,7.0,9.0,5.0,3.0,4.0
lawngtlai,8.0,7.0,2.0,4.0,5.0
charkhi dadri,10.0,7.0,7.0,3.0,4.0
anuppur,7.0,9.0,4.0,4.0,4.0
ludhiana,10.0,6.0,8.0,3.0,3.0
durg,7.0,7.0,6.0,3.0,3.0
kalimpong,7.0,9.0,2.0,2.0,3.0
majuli,6.0,8.0,2.0,4.0,4.0
lucknow,7.0,5.0,6.0,3.0,3.0
ramanathapuram,10.0,8.0,7.0,3.0,4.0
raigarh (maharashtra),6.0,9.0,7.0,3.0,4.0
lalitpur,10.0,7.0,4.0,3.0,4.0
bankura,10.0,10.0,4.0,3.0,4.0
palakkad,7.0,8.0,9.0,3.0,4.0
uttara kannada,10.0,9.0,5.0,3.0,4.0
dhanbad,7.0,7.0,6.0,3.0,3.0
doda,7.0,9.0,3.0,3.0,4.0
ashoknagar,7.0,8.0,5.0,4.0,4.0
cuddalore,10.0,7.0,7.0,2.0,3.0
chamba,10.0,9.0,6.0,2.0,4.0
cuttack,10.0,8.0,5.0,3.0,4.0
bishnupur,7.0,7.0,4.0,3.0,3.0
gaya,7.0,7.0,3.0,3.0,4.0
muktsar,10.0,7.0,7.0,3.0,4.0
idukki,7.0,8.0,8.0,3.0,4.0
araria,10.0,8.0,2.0,3.0,4.0
lohardaga,7.0,8.0,6.0,2.0,4.0
basti,7.0,7.0,4.0,3.0,4.0
fazilka,10.0,7.0,7.0,3.0,4.0
kanshiram nagar,7.0,6.0,4.0,3.0,4.0
jaunpur,7.0,5.0,4.0,3.0,4.0
srinagar,7.0,5.0,5.0,3.0,1.0
dakshin dinajpur,10.0,9.0,3.0,2.0,4.0
banda,7.0,8.0,5.0,3.0,4.0
balasore,6.0,8.0,5.0,3.0,4.0
navsari,10.0,8.0,8.0,3.0,4.0
bilaspur (h.p.),7.0,9.0,6.0,2.0,4.0
kathua,7.0,8.0,3.0,3.0,4.0
belagavi chikkodi,7.0,8.0,6.0,3.0,3.0
amreli,10.0,8.0,10.0,3.0,3.0
pratapgarh (raj.),6.0,8.0,4.0,3.0,4.0
west kameng,7.0,5.0,4.0,3.0,4.0
bidar,7.0,7.0,5.0,2.0,3.0
chamarajanagara,10.0,9.0,6.0,3.0,4.0
pashchimi singhbhum,7.0,9.0,4.0,2.0,4.0
tawang,7.0,9.0,4.0,3.0,4.0
tinsukia,7.0,9.0,5.0,4.0,4.0
mainpuri,7.0,6.0,5.0,3.0,4.0
sahibganj,7.0,9.0,5.0,2.0,4.0
kanker,7.0,9.0,5.0,3.0,4.0
gumla,7.0,9.0,5.0,2.0,4.0
shopian,7.0,8.0,3.0,3.0,4.0
hoshangabad,7.0,8.0,6.0,3.0,4.0
almora,7.0,9.0,4.0,2.0,4.0
changlang,7.0,9.0,4.0,3.0,4.0
mahabubnagar,7.0,9.0,5.0,3.0,3.0
tiruppur,10.0,7.0,7.0,4.0,3.0
salem,10.0,7.0,7.0,2.0,3.0
panipat,7.0,5.0,8.0,3.0,3.0
kaimur (bhabua),10.0,8.0,3.0,3.0,4.0
daman,10.0,8.0,9.0,4.0,8.0
ratnagiri,7.0,10.0,7.0,3.0,4.0
karbi anglong,7.0,9.0,4.0,4.0,4.0
jalaun,7.0,7.0,5.0,3.0,3.0
agar malwa,7.0,6.0,6.0,3.0,4.0
yadadri,7.0,9.0,6.0,3.0,3.0
niwari,7.0,9.0,4.0,3.0,3.0
yanam,10.0,7.0,10.0,5.0,1.0
gomati,7.0,9.0,3.0,4.0,5.0
west karbi anglong,7.0,9.0,5.0,4.0,4.0
lakshadweep,10.0,10.0,9.0,4.0,9.0
kozhikode,10.0,8.0,9.0,3.0,3.0
rajgarh,10.0,8.0,6.0,3.0,4.0
siang,6.0,8.0,2.0,5.0,4.0
south tripura,7.0,10.0,3.0,4.0,5.0
south west khasi hills,9.0,8.0,1.0,4.0,4.0
chandel,7.0,9.0,4.0,3.0,4.0
jhabua,7.0,9.0,4.0,3.0,4.0
peddapalli,7.0,9.0,6.0,3.0,3.0
west siang,6.0,5.0,3.0,3.0,4.0
bengaluru rural,10.0,9.0,6.0,3.0,4.0
bareilly,7.0,6.0,5.0,3.0,4.0
zunheboto,7.0,9.0,4.0,3.0,4.0
kasaragod,10.0,7.0,9.0,3.0,4.0
surendranagar,10.0,8.0,9.0,3.0,3.0
sivagangai,10.0,8.0,6.0,4.0,4.0
nicobars,10.0,10.0,6.0,3.0,4.0
sheikhpura,7.0,8.0,3.0,3.0,3.0
gajapati,10.0,10.0,5.0,3.0,4.0
east sikkim,7.0,7.0,6.0,3.0,6.0
firozpur,10.0,8.0,6.0,3.0,4.0
faizabad,7.0,5.0,5.0,4.0,4.0
rohtas,10.0,6.0,4.0,3.0,4.0
koppal,7.0,8.0,6.0,3.0,3.0
moga,10.0,8.0,8.0,3.0,4.0
morena,7.0,6.0,5.0,4.0,3.0
nashik,7.0,9.0,7.0,3.0,4.0
jodhpur,7.0,5.0,6.0,3.0,4.0
hathras,7.0,6.0,5.0,3.0,4.0
chhotaudepur,10.0,10.0,6.0,3.0,4.0
udham singh nagar,7.0,5.0,6.0,3.0,4.0
chennai,10.0,5.0,9.0,3.0,1.0
rohtak,7.0,6.0,8.0,3.0,3.0
bengaluru urban,10.0,4.0,8.0,2.0,2.0
tiruvannamalai,10.0,8.0,7.0,3.0,4.0
haveri,7.0,9.0,6.0,3.0,3.0
dungarpur,7.0,8.0,4.0,4.0,4.0
jiribam,10.0,8.0,3.0,4.0,4.0
balaghat,7.0,8.0,5.0,3.0,4.0
jalna,7.0,8.0,7.0,3.0,4.0
bhiwani,7.0,7.0,7.0,3.0,4.0
jamtara,7.0,9.0,6.0,2.0,4.0
mahasamund,7.0,9.0,5.0,3.0,4.0
gurugram,10.0,5.0,8.0,4.0,3.0
bundi,7.0,6.0,5.0,3.0,4.0
leh (ladakh),7.0,8.0,4.0,3.0,7.0
samba,7.0,7.0,5.0,3.0,4.0
kapurthala,10.0,8.0,7.0,3.0,4.0
mirzapur,7.0,6.0,5.0,3.0,4.0
jharsuguda,10.0,8.0,6.0,3.0,3.0
hazaribag,7.0,7.0,6.0,2.0,4.0
ukhrul,5.0,7.0,3.0,3.0,4.0
narayanapet,7.0,9.0,5.0,3.0,3.0
chatra,7.0,9.0,4.0,2.0,4.0
bid,7.0,9.0,6.0,3.0,4.0
guna,7.0,8.0,5.0,4.0,3.0
sehore,7.0,7.0,5.0,3.0,4.0
medchal,7.0,7.0,7.0,3.0,1.0
maldah,7.0,8.0,3.0,3.0,4.0
south sikkim,10.0,7.0,5.0,3.0,5.0
osmanabad,10.0,9.0,8.0,3.0,3.0
alirajpur,7.0,10.0,3.0,4.0,4.0
satara,7.0,9.0,8.0,3.0,4.0
pune,7.0,8.0,8.0,3.0,3.0
jammu,7.0,6.0,5.0,3.0,4.0
banas kantha,10.0,9.0,9.0,3.0,4.0
sawai madhopur,7.0,5.0,6.0,3.0,4.0
puri,10.0,9.0,5.0,3.0,4.0
pratapgarh,7.0,6.0,3.0,3.0,4.0
chhatarpur,7.0,7.0,5.0,3.0,3.0
sikar,7.0,5.0,7.0,3.0,4.0
karimganj,7.0,7.0,2.0,4.0,4.0
madhubani,10.0,8.0,3.0,3.0,4.0
mulugu,7.0,10.0,5.0,3.0,4.0
bhagalpur,7.0,8.0,3.0,3.0,4.0
kheda,7.0,9.0,8.0,4.0,4.0
anand,10.0,8.0,9.0,4.0,3.0
cachar,7.0,9.0,3.0,3.0,4.0
kodarma,7.0,7.0,6.0,3.0,4.0
aurangabad (maharashtra),7.0,7.0,7.0,3.0,3.0
biswanath,6.0,9.0,4.0,4.0,4.0
harda,7.0,8.0,5.0,3.0,4.0
narsimhapur,7.0,8.0,6.0,3.0,4.0
dharwad,7.0,7.0,6.0,3.0,2.0
mungeli,7.0,9.0,5.0,3.0,4.0
bhind,7.0,7.0,5.0,3.0,3.0
nalgonda,7.0,9.0,6.0,3.0,3.0
sheopur,10.0,8.0,5.0,3.0,4.0
mon,11.0,8.0,3.0,3.0,4.0
yavatmal,7.0,9.0,7.0,3.0,4.0
nellore,6.0,8.0,5.0,3.0,3.0
baghpat,7.0,6.0,6.0,3.0,3.0
nagapattinam,10.0,8.0,7.0,4.0,4.0
allahabad,7.0,6.0,5.0,3.0,4.0
solapur,7.0,9.0,8.0,3.0,4.0
valsad,10.0,8.0,8.0,3.0,4.0
purba medinipur,7.0,9.0,4.0,3.0,4.0
ratlam,7.0,8.0,6.0,3.0,4.0
tapi,10.0,9.0,7.0,4.0,4.0
purnia,10.0,8.0,2.0,2.0,4.0
udhampur,6.0,9.0,3.0,3.0,4.0
deoghar,7.0,9.0,6.0,2.0,4.0
longleng,8.0,8.0,2.0,4.0,4.0
longding,14.0,9.0,3.0,4.0,4.0
seoni,7.0,9.0,5.0,3.0,4.0
khurdha,10.0,7.0,6.0,3.0,3.0
bhopal,7.0,3.0,6.0,3.0,2.0
noney,7.0,9.0,2.0,4.0,4.0
mahoba,7.0,7.0,5.0,3.0,3.0
kannauj,10.0,6.0,5.0,3.0,4.0
dewas,7.0,7.0,6.0,3.0,4.0
lunglei,7.0,6.0,3.0,4.0,4.0
lakhimpur kheri,7.0,8.0,4.0,4.0,4.0
udalguri,7.0,9.0,3.0,4.0,4.0
ballia,7.0,7.0,3.0,3.0,4.0
bharuch,10.0,8.0,7.0,3.0,4.0
lohit,7.0,8.0,2.0,4.0,3.0
jabalpur,7.0,7.0,6.0,3.0,3.0
dadra and nagar haveli(ut),10.0,9.0,7.0,3.0,10.0
jaipur,7.0,4.0,7.0,3.0,3.0
kollam,10.0,7.0,9.0,3.0,4.0
bhavnagar,10.0,8.0,9.0,3.0,3.0
sultanpur,7.0,6.0,3.0,3.0,4.0
rajanna,7.0,9.0,6.0,3.0,3.0
khargone,7.0,9.0,5.0,3.0,4.0
uttarkashi,7.0,8.0,4.0,2.0,4.0
barpeta,7.0,8.0,3.0,4.0,4.0
chikkaballapura,7.0,9.0,5.0,3.0,4.0
rangareddy,7.0,9.0,7.0,2.0,3.0
north sikkim,10.0,9.0,5.0,3.0,4.0
sindhudurg,7.0,10.0,6.0,3.0,4.0
yamunanagar,10.0,8.0,7.0,3.0,3.0
gautam buddha nagar,7.0,4.0,7.0,3.0,4.0
bagalkot,7.0,8.0,6.0,3.0,3.0
parbhani,7.0,8.0,7.0,3.0,3.0
jalor,7.0,6.0,6.0,3.0,4.0
varanasi,7.0,4.0,5.0,3.0,3.0
moradabad,10.0,4.0,4.0,3.0,3.0
sambalpur,10.0,8.0,5.0,4.0,4.0
amravati,7.0,9.0,7.0,3.0,3.0
theni,10.0,8.0,6.0,4.0,3.0
karnal,7.0,6.0,7.0,3.0,3.0
mysuru,7.0,8.0,6.0,3.0,3.0
east khasi hills,7.0,4.0,3.0,4.0,5.0
upper siang,7.0,9.0,2.0,4.0,4.0
nagpur,7.0,7.0,7.0,3.0,3.0
mohali,10.0,7.0,8.0,3.0,3.0
the dangs,10.0,10.0,7.0,3.0,4.0
ambala,7.0,7.0,7.0,3.0,3.0
nayagarh,10.0,8.0,5.0,3.0,4.0
papum pare,7.0,7.0,2.0,4.0,4.0
jashpur,7.0,9.0,5.0,3.0,4.0
serchhip,7.0,6.0,3.0,3.0,3.0
sirmaur,7.0,9.0,5.0,2.0,4.0
dimapur,7.0,6.0,6.0,3.0,4.0
karimnagar,7.0,8.0,6.0,3.0,3.0
balodabazar,7.0,9.0,5.0,3.0,4.0
kushinagar,7.0,6.0,4.0,3.0,4.0
pherzawl,6.0,8.0,2.0,4.0,4.0
una,10.0,9.0,7.0,3.0,4.0
kottayam,10.0,8.0,10.0,3.0,4.0
bilaspur,7.0,8.0,6.0,3.0,4.0
dharmapuri,10.0,8.0,7.0,3.0,4.0
baster,7.0,9.0,4.0,3.0,4.0
sonitpur,7.0,8.0,4.0,4.0,4.0
farrukhabad,7.0,6.0,4.0,3.0,4.0
mahendragarh,10.0,8.0,7.0,3.0,4.0
sambhal (bhim nagar),7.0,6.0,5.0,3.0,4.0
tumakuru madhugiri,10.0,9.0,5.0,3.0,4.0
bahraich,7.0,8.0,5.0,3.0,4.0
surat,10.0,5.0,8.0,3.0,3.0
bijapur,7.0,10.0,4.0,3.0,4.0
peren,9.0,8.0,4.0,3.0,4.0
ramban,10.0,9.0,2.0,3.0,4.0
chikkamangaluru,10.0,9.0,6.0,2.0,4.0
ghazipur,7.0,5.0,4.0,3.0,4.0
kamprup,7.0,7.0,4.0,3.0,2.0
nizamabad,7.0,9.0,6.0,3.0,3.0
ernakulam,7.0,7.0,10.0,3.0,3.0
barmer,7.0,8.0,5.0,3.0,4.0
bathinda,10.0,7.0,8.0,3.0,3.0
sheohar,10.0,8.0,3.0,4.0,4.0
kamrup,7.0,8.0,4.0,4.0,4.0
kalburgi,7.0,7.0,5.0,2.0,3.0
shajapur,7.0,6.0,5.0,3.0,4.0
morigaon,6.0,9.0,3.0,4.0,4.0
palwal,7.0,6.0,7.0,3.0,4.0
pondicherry,10.0,6.0,9.0,3.0,7.0
tuensang,8.0,8.0,2.0,3.0,4.0
raichur,7.0,7.0,5.0,2.0,3.0
mandya,10.0,9.0,5.0,3.0,4.0
